Wave,Max Asteroids,Spawn Interval (s),Wave Length (s),Option 2 Spawn Interval (s),Option 2 Wave Length (s),Wave Progress (%)
1,5,7.0,28.0,7.5,30.0,0.0
2,7,6.587397134414631,39.524382806487786,5.379824612444561,32.278947674667364,0.010101010101010102
3,9,6.3746110012425925,50.99688800994074,4.245984795476017,33.96787836380813,0.020202020202020204
4,11,6.20236354856297,62.023635485629704,3.5488218046596978,35.48821804659698,0.030303030303030304
5,13,6.052087534070046,72.62505040884055,3.0757064574506123,36.908477489407346,0.04040404040404041
6,15,5.9162871013633564,82.82801941908698,2.7327624747087422,38.25867464592239,0.050505050505050504
7,17,5.791009216504327,92.65614746406924,2.4722214139946193,39.55554262391391,0.06060606060606061
8,19,5.673854842141119,102.12938715854014,2.267204372664599,40.80967870796279,0.0707070707070707
9,21,5.563233371788246,111.26466743576492,2.1014178969922157,42.02835793984431,0.08080808080808081
10,23,5.458023533698848,120.07651774137464,1.9644028262735374,43.21686217801782,0.09090909090909091
11,25,5.357398406195436,128.57756174869047,1.8491328220905963,44.37918773017431,0.10101010101010101
12,27,5.260726616186167,136.77889202084035,1.750709836121292,45.518455739153595,0.1111111111111111
13,29,5.167512640697223,144.69035393952223,1.6656130724177411,46.63716602769675,0.12121212121212122
14,31,5.077358770077328,152.32076310231986,1.591245408196303,47.73736224588909,0.13131313131313133
15,33,4.989939814635747,159.6780740683439,1.5256482430166949,48.820743776534236,0.1414141414141414
16,35,4.904985682494686,166.7695132048193,1.46731600441212,49.88874415001208,0.15151515151515152
17,37,4.822269019410158,173.6016846987657,1.4150718766699375,50.94258756011775,0.16161616161616163
18,39,4.741596216505127,180.18065622719482,1.367982383810764,51.98333058480904,0.1717171717171717
19,41,4.662800724858181,186.51202899432724,1.3252973407040325,53.0118936281613,0.18181818181818182
20,43,4.585737990390186,192.6009955963878,1.2864067868216698,54.02908504651013,0.1919191919191919
21,45,4.510281552094038,198.45238829213767,1.2508095444656346,55.03561995648792,0.20202020202020202
22,47,4.436319991854013,204.0707196252846,1.2180898935754143,56.032135104469056,0.21212121212121213
23,49,4.363754518462775,209.4602168862132,1.1879000160502555,57.01920077041227,0.2222222222222222
24,51,4.2924970312643715,214.62485156321858,1.1599466081082213,57.99733040541106,0.23232323232323232
25,53,4.222468551583887,219.56836468236213,1.1339805483485594,58.96698851412509,0.24242424242424243
26,55,4.153597939739854,224.29428874595214,1.1097888363236241,59.9285971614757,0.25252525252525254
27,57,4.08582083635028,228.80596683561566,1.0871882390909342,60.88254138909232,0.26262626262626265
28,59,4.019078781639285,233.10656933507855,1.0660202372250904,61.829173759055244,0.2727272727272727
29,61,3.9533184773604404,237.19910864162642,1.0461469698771302,62.76881819262781,0.2828282828282828
30,63,3.8884911639946016,241.0864521676653,1.0274479553969689,63.70177323461207,0.29292929292929293
31,65,3.8245520918807197,244.77133388036606,1.0098174194701723,64.62831484609103,0.30303030303030304
32,67,3.7614600694663043,248.2563645847761,0.9931621031382344,65.54869880712347,0.31313131313131315
33,69,3.699177075317043,251.54404112155893,0.9773994528629092,66.46316279467783,0.32323232323232326
34,71,3.637667923183387,254.6367546228371,0.9624561169780789,67.37192818846552,0.3333333333333333
35,73,3.576899971487059,257.53679794706824,0.9482666895480674,68.27520164746085,0.3434343434343434
36,75,3.5168428702082264,260.24637239540874,0.9347726552987304,69.17317649210605,0.35353535353535354
37,77,3.4574683394314505,262.76759379679027,0.9219214989606925,70.06603392101263,0.36363636363636365
38,79,3.3987499748244856,265.1024980363099,0.9096659498207333,70.9539440860172,0.37373737373737376
39,81,3.3406630761377194,267.25304609101755,0.8979633380682468,71.83706704545975,0.3838383838383838
40,83,3.283184495467971,269.2211286283736,0.8867750440526327,72.71555361231589,0.3939393939393939
41,85,3.2262925025623783,271.0085702152398,0.8760660251330536,73.5895461111765,0.40404040404040403
42,87,3.169966664872109,272.61713317900137,0.8658044076267659,74.45917905590187,0.41414141414141414
43,89,3.1141877404216154,274.04852115710213,0.8559611336135535,75.32457975799271,0.42424242424242425
44,91,3.0589375818527005,275.304382366743,0.8465096541582278,76.1858688742405,0.43434343434343436
45,93,3.0041990502458464,276.3863126226179,0.8374256619672494,77.04316090098695,0.4444444444444444
46,95,2.9499559375237547,277.2958581272329,0.8286868576733091,77.89656462129105,0.45454545454545453
47,97,2.896192896411325,278.0345180554872,0.8202727449003815,78.74618351043662,0.46464646464646464
48,99,2.842895377068473,278.60374695271037,0.812164450045725,79.59211610448105,0.47474747474747475
49,101,2.7900495696320773,279.00495696320775,0.8043445633592791,80.4344563359279,0.48484848484848486
50,103,2.73764235200475,279.2395199044845,0.7967969984321445,81.27329384007874,0.494949494949495
51,105,2.685661242314369,279.30876920069437,0.7895068676458743,82.10871423517092,0.5050505050505051
52,107,2.634094355541751,279.2140016874256,0.7824603715002186,82.94079937902318,0.5151515151515151
53,109,2.5829303638767023,278.95647929868386,0.7756447000424106,83.76962760458035,0.5252525252525253
54,111,2.5321584604166256,278.5374306458288,0.7690479448769483,84.59527393646431,0.5353535353535354
55,113,2.4817683258683045,277.9580524972501,0.7626590204499243,85.41781029039151,0.5454545454545454
56,115,2.4317500979535422,277.2195111667038,0.7564675934833749,86.23730565710474,0.5555555555555556
57,117,2.382094343254095,276.322943817475,0.7504640195886279,87.05382627228083,0.5656565656565656
58,119,2.332792031261433,275.2694596888491,0.7446392862179224,87.86743577371485,0.5757575757575758
59,121,2.283834510423133,274.0601412507759,0.7389849612244964,88.67819534693957,0.5858585858585859
60,123,2.2352134860005934,272.6960452920724,0.7334931463960311,89.4861638603158,0.5959595959595959
61,125,2.186920999572818,271.17820394702943,0.7281564354074206,90.29139799052015,0.6060606060606061
62,127,2.1389494100385695,269.50762566485975,0.7229678757084225,91.09395233926124,0.6161616161616161
63,129,2.0912913759846443,267.6852961260345,0.7179209339216499,91.89387954197119,0.6262626262626263
64,131,2.043939839301663,265.71217910921615,0.7130094643780345,92.69123036914448,0.6363636363636364
65,133,1.9968880099407382,263.5892173121774,0.7082276804615919,93.48605382093012,0.6464646464646465
66,135,1.9501293517150478,261.3173331298164,0.7035701284740653,94.27839721552475,0.6565656565656566
67,137,1.9036575690597477,258.8974293921257,0.6990316637636905,95.06830627186191,0.6666666666666666
68,139,1.8574665946720534,256.33039006474337,0.694607428891639,95.85582518704618,0.6767676767676768
69,141,1.8115505779607188,253.61708091450063,0.6902928336352826,96.64099670893957,0.6868686868686869
70,143,1.7659038742408395,250.75835014219922,0.686083536649793,97.42386220427062,0.696969696969697
71,145,1.7205210346157997,247.75502898467516,0.6819754286291864,98.20446172260284,0.7070707070707071
72,147,1.6753967964934828,244.6079322880485,0.6779646168251365,98.98283405646994,0.7171717171717171
73,149,1.6305260746886594,241.31785905392158,0.6740474107970156,99.75901679795831,0.7272727272727273
74,151,1.5859039530676844,237.88559296015265,0.670220309279952,100.5330463919928,0.7373737373737373
75,153,1.5415256766954846,234.31190285771365,0.6664799880694771,101.30495818656051,0.7474747474747475
76,155,1.4973866444483095,230.59754324503967,0.6628232888317367,102.07478648008745,0.7575757575757576
77,157,1.453482402058743,226.7432547211639,0.6592472087574703,102.84256456616538,0.7676767676767676
78,159,1.4098086355623884,222.74976441885738,0.655748890986137,103.60832477580965,0.7777777777777778
79,161,1.3663611651181,218.617786418896,0.6523256157338422,104.37209851741474,0.7878787878787878
80,163,1.323135939175959,214.34802214650534,0.6489747920651927,105.13391631456122,0.797979797979798
81,165,1.2801290289693013,209.9411607509654,0.6456939502549645,105.89380784181417,0.8080808080808081
82,167,1.2373366233089511,205.3978794692859,0.6424807346906343,106.6518019586453,0.8181818181818182
83,169,1.1947550236595834,200.71884397481,0.6393328972714121,107.40792674159722,0.8282828282828283
84,171,1.1523806394796603,195.90470871154224,0.636248291263546,108.16220951480281,0.8383838383838383
85,173,1.1102099838078399,190.95611721494845,0.6332248655753565,108.91467687896132,0.8484848484848485
86,175,1.068239669080051,185.8737024199289,0.6302606594187787,109.6653547388675,0.8585858585858586
87,177,1.0264664031626083,180.65808695661906,0.6273537973271704,110.414268329582,0.8686868686868687
88,179,0.9848869855878357,175.30988343463477,0.6245024845018254,111.16144224132493,0.8787878787878788
89,180,0.9434983039796467,168.88619641235675,0.625178214766306,111.90690044316877,0.8888888888888888
90,180,0.9022973306574658,161.51122218768637,0.6293333313162117,112.6506663056019,0.898989898989899
91,180,0.8612811194076819,154.16932037397507,0.6334791207934539,113.39276262202826,0.9090909090909091
92,180,0.8204468024126017,146.8599776318557,0.6376157074260603,114.13321162926479,0.9191919191919192
93,180,0.7797915873275914,139.58269413163885,0.641743212441864,114.87203502709366,0.9292929292929293
94,180,0.7393127544977016,132.33698305508858,0.6458617541727545,115.60925399692306,0.9393939393939394
95,180,0.6990076543057233,125.12237012072447,0.649971448154221,116.34488921960556,0.9494949494949495
96,180,0.6588737046441091,117.93839313129553,0.6540724072204569,117.07896089246178,0.9595959595959596
97,180,0.6189083885037601,110.78460154217305,0.6581647415952606,117.81148874555166,0.9696969696969697
98,180,0.5791092516730973,103.66055604948443,0.6622485589789636,118.54249205723448,0.9797979797979798
99,180,0.539473900541303,96.56582819689322,0.6663239646316005,119.27198966905648,0.98989898989899
100,180,0.5,89.5,0.6703910614525139,119.99999999999999,1.0
